year,cat,count
1933,Struck by vehicle,5
1934,Struck by vehicle,13
1935,Struck by vehicle,13
1936,Struck by vehicle,10
1937,Struck by vehicle,16
1938,Struck by vehicle,9
1939,Struck by vehicle,4
1940,Struck by vehicle,4
1941,Struck by vehicle,11
1942,Struck by vehicle,9
1943,Struck by vehicle,0
1944,Struck by vehicle,4
1945,Struck by vehicle,5
1946,Struck by vehicle,8
1947,Struck by vehicle,3
1948,Struck by vehicle,10
1949,Struck by vehicle,5
1950,Struck by vehicle,6
1951,Struck by vehicle,5
1952,Struck by vehicle,5
1953,Struck by vehicle,6
1954,Struck by vehicle,16
1955,Struck by vehicle,9
1956,Struck by vehicle,5
1957,Struck by vehicle,4
1958,Struck by vehicle,6
1959,Struck by vehicle,10
1960,Struck by vehicle,7
1961,Struck by vehicle,6
1962,Struck by vehicle,9
1963,Struck by vehicle,8
1964,Struck by vehicle,9
1965,Struck by vehicle,9
1966,Struck by vehicle,2
1967,Struck by vehicle,8
1968,Struck by vehicle,8
1969,Struck by vehicle,3
1970,Struck by vehicle,7
1971,Struck by vehicle,11
1972,Struck by vehicle,11
1973,Struck by vehicle,7
1974,Struck by vehicle,12
1975,Struck by vehicle,12
1976,Struck by vehicle,1
1977,Struck by vehicle,6
1978,Struck by vehicle,13
1979,Struck by vehicle,5
1980,Struck by vehicle,11
1981,Struck by vehicle,10
1982,Struck by vehicle,14
1983,Struck by vehicle,12
1984,Struck by vehicle,12
1985,Struck by vehicle,12
1986,Struck by vehicle,10
1987,Struck by vehicle,16
1988,Struck by vehicle,16
1989,Struck by vehicle,11
1990,Struck by vehicle,8
1991,Struck by vehicle,5
1992,Struck by vehicle,6
1993,Struck by vehicle,2
1994,Struck by vehicle,9
1995,Struck by vehicle,9
1996,Struck by vehicle,1
1997,Struck by vehicle,15
1998,Struck by vehicle,10
1999,Struck by vehicle,8
2000,Struck by vehicle,9
2001,Struck by vehicle,11
2002,Struck by vehicle,6
2003,Struck by vehicle,7
2004,Struck by vehicle,8
2005,Struck by vehicle,11
2006,Struck by vehicle,9
2007,Struck by vehicle,9
2008,Struck by vehicle,12
2009,Struck by vehicle,8
2010,Struck by vehicle,7
2011,Struck by vehicle,4
2012,Struck by vehicle,6
2013,Struck by vehicle,8
2014,Struck by vehicle,5
2015,Struck by vehicle,4
2016,Struck by vehicle,2
1791,Gunfire (Accidental),0
1792,Gunfire (Accidental),0
1794,Gunfire (Accidental),0
1797,Gunfire (Accidental),0
1804,Gunfire (Accidental),0
1806,Gunfire (Accidental),0
1807,Gunfire (Accidental),0
1808,Gunfire (Accidental),0
1810,Gunfire (Accidental),0
1811,Gunfire (Accidental),0
1814,Gunfire (Accidental),0
1816,Gunfire (Accidental),0
1818,Gunfire (Accidental),0
1823,Gunfire (Accidental),0
1824,Gunfire (Accidental),0
1825,Gunfire (Accidental),0
1827,Gunfire (Accidental),0
1828,Gunfire (Accidental),0
1830,Gunfire (Accidental),0
1832,Gunfire (Accidental),0
1833,Gunfire (Accidental),0
1834,Gunfire (Accidental),0
1836,Gunfire (Accidental),0
1837,Gunfire (Accidental),0
1838,Gunfire (Accidental),0
1839,Gunfire (Accidental),0
1840,Gunfire (Accidental),0
1841,Gunfire (Accidental),0
1842,Gunfire (Accidental),0
1843,Gunfire (Accidental),0
1844,Gunfire (Accidental),0
1845,Gunfire (Accidental),0
1847,Gunfire (Accidental),0
1848,Gunfire (Accidental),0
1849,Gunfire (Accidental),0
1850,Gunfire (Accidental),0
1851,Gunfire (Accidental),0
1852,Gunfire (Accidental),0
1853,Gunfire (Accidental),0
1854,Gunfire (Accidental),0
1855,Gunfire (Accidental),0
1856,Gunfire (Accidental),1
1857,Gunfire (Accidental),0
1858,Gunfire (Accidental),1
1859,Gunfire (Accidental),0
1860,Gunfire (Accidental),0
1861,Gunfire (Accidental),0
1862,Gunfire (Accidental),0
1863,Gunfire (Accidental),0
1864,Gunfire (Accidental),0
1865,Gunfire (Accidental),0
1866,Gunfire (Accidental),0
1867,Gunfire (Accidental),0
1868,Gunfire (Accidental),0
1869,Gunfire (Accidental),1
1870,Gunfire (Accidental),0
1871,Gunfire (Accidental),2
1872,Gunfire (Accidental),0
1873,Gunfire (Accidental),1
1874,Gunfire (Accidental),0
1875,Gunfire (Accidental),1
1876,Gunfire (Accidental),1
1877,Gunfire (Accidental),1
1878,Gunfire (Accidental),2
1879,Gunfire (Accidental),0
1880,Gunfire (Accidental),1
1881,Gunfire (Accidental),1
1882,Gunfire (Accidental),2
1883,Gunfire (Accidental),1
1884,Gunfire (Accidental),3
1885,Gunfire (Accidental),0
1886,Gunfire (Accidental),1
1887,Gunfire (Accidental),2
1888,Gunfire (Accidental),1
1889,Gunfire (Accidental),0
1890,Gunfire (Accidental),2
1891,Gunfire (Accidental),4
1892,Gunfire (Accidental),3
1893,Gunfire (Accidental),1
1894,Gunfire (Accidental),3
1895,Gunfire (Accidental),4
1896,Gunfire (Accidental),0
1897,Gunfire (Accidental),4
1898,Gunfire (Accidental),1
1899,Gunfire (Accidental),3
1900,Gunfire (Accidental),3
1901,Gunfire (Accidental),5
1902,Gunfire (Accidental),3
1903,Gunfire (Accidental),4
1904,Gunfire (Accidental),11
1905,Gunfire (Accidental),4
1906,Gunfire (Accidental),4
1907,Gunfire (Accidental),5
1908,Gunfire (Accidental),9
1909,Gunfire (Accidental),5
1910,Gunfire (Accidental),0
1911,Gunfire (Accidental),10
1912,Gunfire (Accidental),0
1913,Gunfire (Accidental),6
1914,Gunfire (Accidental),6
1915,Gunfire (Accidental),4
1916,Gunfire (Accidental),3
1917,Gunfire (Accidental),8
1918,Gunfire (Accidental),5
1919,Gunfire (Accidental),3
1920,Gunfire (Accidental),6
1921,Gunfire (Accidental),8
1922,Gunfire (Accidental),10
1923,Gunfire (Accidental),11
1924,Gunfire (Accidental),6
1925,Gunfire (Accidental),12
1926,Gunfire (Accidental),6
1927,Gunfire (Accidental),10
1928,Gunfire (Accidental),7
1929,Gunfire (Accidental),7
1930,Gunfire (Accidental),5
1931,Gunfire (Accidental),6
1932,Gunfire (Accidental),7
1933,Gunfire (Accidental),3
1934,Gunfire (Accidental),5
1935,Gunfire (Accidental),7
1936,Gunfire (Accidental),9
1937,Gunfire (Accidental),5
1938,Gunfire (Accidental),7
1939,Gunfire (Accidental),2
1940,Gunfire (Accidental),0
1941,Gunfire (Accidental),4
1942,Gunfire (Accidental),7
1943,Gunfire (Accidental),4
1944,Gunfire (Accidental),2
1945,Gunfire (Accidental),4
1946,Gunfire (Accidental),3
1947,Gunfire (Accidental),6
1948,Gunfire (Accidental),3
1949,Gunfire (Accidental),2
1950,Gunfire (Accidental),1
1951,Gunfire (Accidental),1
1952,Gunfire (Accidental),4
1953,Gunfire (Accidental),4
1954,Gunfire (Accidental),2
1955,Gunfire (Accidental),2
1956,Gunfire (Accidental),2
1957,Gunfire (Accidental),1
1958,Gunfire (Accidental),4
1959,Gunfire (Accidental),1
1960,Gunfire (Accidental),4
1961,Gunfire (Accidental),3
1962,Gunfire (Accidental),3
1963,Gunfire (Accidental),1
1964,Gunfire (Accidental),2
1965,Gunfire (Accidental),4
1966,Gunfire (Accidental),2
1967,Gunfire (Accidental),8
1968,Gunfire (Accidental),8
1969,Gunfire (Accidental),4
1970,Gunfire (Accidental),6
1971,Gunfire (Accidental),5
1972,Gunfire (Accidental),8
1973,Gunfire (Accidental),13
1974,Gunfire (Accidental),6
1975,Gunfire (Accidental),9
1976,Gunfire (Accidental),5
1977,Gunfire (Accidental),4
1978,Gunfire (Accidental),5
1979,Gunfire (Accidental),9
1980,Gunfire (Accidental),5
1981,Gunfire (Accidental),6
1982,Gunfire (Accidental),5
1983,Gunfire (Accidental),5
1984,Gunfire (Accidental),8
1985,Gunfire (Accidental),5
1986,Gunfire (Accidental),8
1987,Gunfire (Accidental),7
1988,Gunfire (Accidental),8
1989,Gunfire (Accidental),4
1990,Gunfire (Accidental),5
1991,Gunfire (Accidental),1
1992,Gunfire (Accidental),3
1993,Gunfire (Accidental),6
1994,Gunfire (Accidental),2
1995,Gunfire (Accidental),3
1996,Gunfire (Accidental),3
1997,Gunfire (Accidental),1
1998,Gunfire (Accidental),2
1999,Gunfire (Accidental),2
2000,Gunfire (Accidental),3
2001,Gunfire (Accidental),6
2002,Gunfire (Accidental),3
2003,Gunfire (Accidental),2
2004,Gunfire (Accidental),4
2005,Gunfire (Accidental),7
2006,Gunfire (Accidental),3
2007,Gunfire (Accidental),4
2008,Gunfire (Accidental),2
2009,Gunfire (Accidental),3
2010,Gunfire (Accidental),2
2011,Gunfire (Accidental),5
2012,Gunfire (Accidental),2
2013,Gunfire (Accidental),2
2014,Gunfire (Accidental),2
2015,Gunfire (Accidental),2
2016,Gunfire (Accidental),1
1791,Aircraft accident,0
1792,Aircraft accident,0
1794,Aircraft accident,0
1797,Aircraft accident,0
1804,Aircraft accident,0
1806,Aircraft accident,0
1807,Aircraft accident,0
1808,Aircraft accident,0
1810,Aircraft accident,0
1811,Aircraft accident,0
1814,Aircraft accident,0
1816,Aircraft accident,0
1818,Aircraft accident,0
1823,Aircraft accident,0
1824,Aircraft accident,0
1825,Aircraft accident,0
1827,Aircraft accident,0
1828,Aircraft accident,0
1830,Aircraft accident,0
1832,Aircraft accident,0
1833,Aircraft accident,0
1834,Aircraft accident,0
1836,Aircraft accident,0
1837,Aircraft accident,0
1838,Aircraft accident,0
1839,Aircraft accident,0
1840,Aircraft accident,0
1841,Aircraft accident,0
1842,Aircraft accident,0
1843,Aircraft accident,0
1844,Aircraft accident,0
1845,Aircraft accident,0
1847,Aircraft accident,0
1848,Aircraft accident,0
1849,Aircraft accident,0
1850,Aircraft accident,0
1851,Aircraft accident,0
1852,Aircraft accident,0
1853,Aircraft accident,0
1854,Aircraft accident,0
1855,Aircraft accident,0
1856,Aircraft accident,0
1857,Aircraft accident,0
1858,Aircraft accident,0
1859,Aircraft accident,0
1860,Aircraft accident,0
1861,Aircraft accident,0
1862,Aircraft accident,0
1863,Aircraft accident,0
1864,Aircraft accident,0
1865,Aircraft accident,0
1866,Aircraft accident,0
1867,Aircraft accident,0
1868,Aircraft accident,0
1869,Aircraft accident,0
1870,Aircraft accident,0
1871,Aircraft accident,0
1872,Aircraft accident,0
1873,Aircraft accident,0
1874,Aircraft accident,0
1875,Aircraft accident,0
1876,Aircraft accident,0
1877,Aircraft accident,0
1878,Aircraft accident,0
1879,Aircraft accident,0
1880,Aircraft accident,0
1881,Aircraft accident,0
1882,Aircraft accident,0
1883,Aircraft accident,0
1884,Aircraft accident,0
1885,Aircraft accident,0
1886,Aircraft accident,0
1887,Aircraft accident,0
1888,Aircraft accident,0
1889,Aircraft accident,0
1890,Aircraft accident,0
1891,Aircraft accident,0
1892,Aircraft accident,0
1893,Aircraft accident,0
1894,Aircraft accident,0
1895,Aircraft accident,0
1896,Aircraft accident,0
1897,Aircraft accident,0
1898,Aircraft accident,0
1899,Aircraft accident,0
1900,Aircraft accident,0
1901,Aircraft accident,0
1902,Aircraft accident,0
1903,Aircraft accident,0
1904,Aircraft accident,0
1905,Aircraft accident,0
1906,Aircraft accident,0
1907,Aircraft accident,0
1908,Aircraft accident,0
1909,Aircraft accident,0
1910,Aircraft accident,0
1911,Aircraft accident,0
1912,Aircraft accident,0
1913,Aircraft accident,0
1914,Aircraft accident,0
1915,Aircraft accident,0
1916,Aircraft accident,0
1917,Aircraft accident,0
1918,Aircraft accident,0
1919,Aircraft accident,0
1920,Aircraft accident,0
1921,Aircraft accident,0
1922,Aircraft accident,0
1923,Aircraft accident,0
1924,Aircraft accident,0
1925,Aircraft accident,0
1926,Aircraft accident,0
1927,Aircraft accident,1
1928,Aircraft accident,1
1929,Aircraft accident,0
1930,Aircraft accident,1
1931,Aircraft accident,0
1932,Aircraft accident,3
1933,Aircraft accident,2
1934,Aircraft accident,0
1935,Aircraft accident,0
1936,Aircraft accident,1
1937,Aircraft accident,0
1938,Aircraft accident,1
1939,Aircraft accident,0
1940,Aircraft accident,0
1941,Aircraft accident,2
1942,Aircraft accident,1
1943,Aircraft accident,2
1944,Aircraft accident,0
1945,Aircraft accident,2
1946,Aircraft accident,1
1947,Aircraft accident,2
1948,Aircraft accident,4
1949,Aircraft accident,1
1950,Aircraft accident,5
1951,Aircraft accident,1
1952,Aircraft accident,1
1953,Aircraft accident,0
1954,Aircraft accident,3
1955,Aircraft accident,2
1956,Aircraft accident,5
1957,Aircraft accident,4
1958,Aircraft accident,2
1959,Aircraft accident,1
1960,Aircraft accident,4
1961,Aircraft accident,3
1962,Aircraft accident,1
1963,Aircraft accident,1
1964,Aircraft accident,3
1965,Aircraft accident,0
1966,Aircraft accident,4
1967,Aircraft accident,2
1968,Aircraft accident,3
1969,Aircraft accident,2
1970,Aircraft accident,5
1971,Aircraft accident,7
1972,Aircraft accident,5
1973,Aircraft accident,16
1974,Aircraft accident,20
1975,Aircraft accident,8
1976,Aircraft accident,5
1977,Aircraft accident,5
1978,Aircraft accident,9
1979,Aircraft accident,12
1980,Aircraft accident,9
1981,Aircraft accident,11
1982,Aircraft accident,11
1983,Aircraft accident,12
1984,Aircraft accident,14
1985,Aircraft accident,8
1986,Aircraft accident,12
1987,Aircraft accident,5
1988,Aircraft accident,7
1989,Aircraft accident,11
1990,Aircraft accident,12
1991,Aircraft accident,8
1992,Aircraft accident,5
1993,Aircraft accident,10
1994,Aircraft accident,11
1995,Aircraft accident,9
1996,Aircraft accident,2
1997,Aircraft accident,5
1998,Aircraft accident,4
1999,Aircraft accident,4
2000,Aircraft accident,7
2001,Aircraft accident,5
2002,Aircraft accident,7
2003,Aircraft accident,1
2004,Aircraft accident,3
2005,Aircraft accident,2
2006,Aircraft accident,3
2007,Aircraft accident,3
2008,Aircraft accident,3
2009,Aircraft accident,4
2010,Aircraft accident,2
2011,Aircraft accident,1
2012,Aircraft accident,3
2013,Aircraft accident,1
2014,Aircraft accident,0
2015,Aircraft accident,1
2016,Aircraft accident,1
1791,Terrorist attack,0
1792,Terrorist attack,0
1794,Terrorist attack,0
1797,Terrorist attack,0
1804,Terrorist attack,0
1806,Terrorist attack,0
1807,Terrorist attack,0
1808,Terrorist attack,0
1810,Terrorist attack,0
1811,Terrorist attack,0
1814,Terrorist attack,0
1816,Terrorist attack,0
1818,Terrorist attack,0
1823,Terrorist attack,0
1824,Terrorist attack,0
1825,Terrorist attack,0
1827,Terrorist attack,0
1828,Terrorist attack,0
1830,Terrorist attack,0
1832,Terrorist attack,0
1833,Terrorist attack,0
1834,Terrorist attack,0
1836,Terrorist attack,0
1837,Terrorist attack,0
1838,Terrorist attack,0
1839,Terrorist attack,0
1840,Terrorist attack,0
1841,Terrorist attack,0
1842,Terrorist attack,0
1843,Terrorist attack,0
1844,Terrorist attack,0
1845,Terrorist attack,0
1847,Terrorist attack,0
1848,Terrorist attack,0
1849,Terrorist attack,0
1850,Terrorist attack,0
1851,Terrorist attack,0
1852,Terrorist attack,0
1853,Terrorist attack,0
1854,Terrorist attack,0
1855,Terrorist attack,0
1856,Terrorist attack,0
1857,Terrorist attack,0
1858,Terrorist attack,0
1859,Terrorist attack,0
1860,Terrorist attack,0
1861,Terrorist attack,0
1862,Terrorist attack,0
1863,Terrorist attack,0
1864,Terrorist attack,0
1865,Terrorist attack,0
1866,Terrorist attack,0
1867,Terrorist attack,0
1868,Terrorist attack,0
1869,Terrorist attack,0
1870,Terrorist attack,0
1871,Terrorist attack,0
1872,Terrorist attack,0
1873,Terrorist attack,0
1874,Terrorist attack,0
1875,Terrorist attack,0
1876,Terrorist attack,0
1877,Terrorist attack,0
1878,Terrorist attack,0
1879,Terrorist attack,0
1880,Terrorist attack,0
1881,Terrorist attack,0
1882,Terrorist attack,0
1883,Terrorist attack,0
1884,Terrorist attack,0
1885,Terrorist attack,0
1886,Terrorist attack,0
1887,Terrorist attack,0
1888,Terrorist attack,0
1889,Terrorist attack,0
1890,Terrorist attack,0
1891,Terrorist attack,0
1892,Terrorist attack,0
1893,Terrorist attack,0
1894,Terrorist attack,0
1895,Terrorist attack,0
1896,Terrorist attack,0
1897,Terrorist attack,0
1898,Terrorist attack,0
1899,Terrorist attack,0
1900,Terrorist attack,0
1901,Terrorist attack,0
1902,Terrorist attack,0
1903,Terrorist attack,0
1904,Terrorist attack,0
1905,Terrorist attack,0
1906,Terrorist attack,0
1907,Terrorist attack,0
1908,Terrorist attack,0
1909,Terrorist attack,0
1910,Terrorist attack,0
1911,Terrorist attack,0
1912,Terrorist attack,0
1913,Terrorist attack,0
1914,Terrorist attack,0
1915,Terrorist attack,0
1916,Terrorist attack,0
1917,Terrorist attack,0
1918,Terrorist attack,0
1919,Terrorist attack,0
1920,Terrorist attack,0
1921,Terrorist attack,0
1922,Terrorist attack,0
1923,Terrorist attack,0
1924,Terrorist attack,0
1925,Terrorist attack,0
1926,Terrorist attack,0
1927,Terrorist attack,0
1928,Terrorist attack,0
1929,Terrorist attack,0
1930,Terrorist attack,0
1931,Terrorist attack,0
1932,Terrorist attack,0
1933,Terrorist attack,0
1934,Terrorist attack,0
1935,Terrorist attack,0
1936,Terrorist attack,0
1937,Terrorist attack,0
1938,Terrorist attack,0
1939,Terrorist attack,0
1940,Terrorist attack,0
1941,Terrorist attack,0
1942,Terrorist attack,0
1943,Terrorist attack,0
1944,Terrorist attack,0
1945,Terrorist attack,0
1946,Terrorist attack,0
1947,Terrorist attack,0
1948,Terrorist attack,0
1949,Terrorist attack,0
1950,Terrorist attack,0
1951,Terrorist attack,0
1952,Terrorist attack,0
1953,Terrorist attack,0
1954,Terrorist attack,0
1955,Terrorist attack,0
1956,Terrorist attack,0
1957,Terrorist attack,0
1958,Terrorist attack,0
1959,Terrorist attack,0
1960,Terrorist attack,0
1961,Terrorist attack,0
1962,Terrorist attack,0
1963,Terrorist attack,0
1964,Terrorist attack,0
1965,Terrorist attack,0
1966,Terrorist attack,0
1967,Terrorist attack,0
1968,Terrorist attack,0
1969,Terrorist attack,0
1970,Terrorist attack,0
1971,Terrorist attack,0
1972,Terrorist attack,0
1973,Terrorist attack,0
1974,Terrorist attack,0
1975,Terrorist attack,0
1976,Terrorist attack,1
1977,Terrorist attack,0
1978,Terrorist attack,0
1979,Terrorist attack,0
1980,Terrorist attack,0
1981,Terrorist attack,0
1982,Terrorist attack,0
1983,Terrorist attack,0
1984,Terrorist attack,0
1985,Terrorist attack,0
1986,Terrorist attack,0
1987,Terrorist attack,0
1988,Terrorist attack,3
1989,Terrorist attack,0
1990,Terrorist attack,0
1991,Terrorist attack,0
1992,Terrorist attack,0
1993,Terrorist attack,0
1994,Terrorist attack,0
1995,Terrorist attack,8
1996,Terrorist attack,0
1997,Terrorist attack,0
1998,Terrorist attack,0
1999,Terrorist attack,0
2000,Terrorist attack,0
2001,Terrorist attack,72
2002,Terrorist attack,0
2003,Terrorist attack,0
2004,Terrorist attack,0
2005,Terrorist attack,0
2006,Terrorist attack,0
2007,Terrorist attack,0
2008,Terrorist attack,0
2009,Terrorist attack,0
2010,Terrorist attack,0
2011,Terrorist attack,0
2012,Terrorist attack,0
2013,Terrorist attack,0
2014,Terrorist attack,0
2015,Terrorist attack,0
2016,Terrorist attack,0
1791,other,0
1792,other,0
1794,other,0
1797,other,0
1804,other,0
1806,other,1
1807,other,0
1808,other,2
1810,other,0
1811,other,0
1814,other,0
1816,other,1
1818,other,1
1823,other,2
1824,other,1
1825,other,1
1827,other,1
1828,other,0
1830,other,0
1832,other,1
1833,other,1
1834,other,2
1836,other,4
1837,other,6
1838,other,5
1839,other,3
1840,other,1
1841,other,2
1842,other,0
1843,other,2
1844,other,2
1845,other,2
1847,other,0
1848,other,0
1849,other,3
1850,other,2
1851,other,5
1852,other,3
1853,other,6
1854,other,4
1855,other,4
1856,other,3
1857,other,3
1858,other,5
1859,other,1
1860,other,3
1861,other,8
1862,other,2
1863,other,7
1864,other,5
1865,other,1
1866,other,5
1867,other,3
1868,other,3
1869,other,6
1870,other,24
1871,other,3
1872,other,4
1873,other,7
1874,other,9
1875,other,2
1876,other,10
1877,other,5
1878,other,6
1879,other,7
1880,other,5
1881,other,7
1882,other,6
1883,other,3
1884,other,8
1885,other,6
1886,other,14
1887,other,12
1888,other,9
1889,other,6
1890,other,9
1891,other,13
1892,other,9
1893,other,10
1894,other,17
1895,other,10
1896,other,11
1897,other,15
1898,other,19
1899,other,15
1900,other,21
1901,other,15
1902,other,17
1903,other,20
1904,other,13
1905,other,17
1906,other,23
1907,other,16
1908,other,32
1909,other,22
1910,other,21
1911,other,18
1912,other,21
1913,other,25
1914,other,22
1915,other,18
1916,other,34
1917,other,41
1918,other,39
1919,other,34
1920,other,19
1921,other,35
1922,other,37
1923,other,20
1924,other,34
1925,other,31
1926,other,26
1927,other,45
1928,other,42
1929,other,38
1930,other,34
1931,other,23
1932,other,32
1933,other,25
1934,other,25
1935,other,30
1936,other,35
1937,other,31
1938,other,25
1939,other,17
1940,other,38
1941,other,7
1942,other,26
1943,other,14
1944,other,14
1945,other,22
1946,other,17
1947,other,22
1948,other,25
1949,other,18
1950,other,14
1951,other,18
1952,other,17
1953,other,16
1954,other,21
1955,other,23
1956,other,15
1957,other,18
1958,other,14
1959,other,13
1960,other,24
1961,other,16
1962,other,16
1963,other,16
1964,other,17
1965,other,22
1966,other,33
1967,other,28
1968,other,37
1969,other,27
1970,other,47
1971,other,34
1972,other,41
1973,other,36
1974,other,35
1975,other,27
1976,other,39
1977,other,27
1978,other,30
1979,other,25
1980,other,27
1981,other,24
1982,other,23
1983,other,28
1984,other,25
1985,other,29
1986,other,20
1987,other,24
1988,other,18
1989,other,32
1990,other,28
1991,other,23
1992,other,23
1993,other,18
1994,other,21
1995,other,27
1996,other,18
1997,other,20
1998,other,20
1999,other,19
2000,other,25
2001,other,18
2002,other,21
2003,other,30
2004,other,19
2005,other,20
2006,other,18
2007,other,42
2008,other,32
2009,other,22
2010,other,26
2011,other,37
2012,other,31
2013,other,35
2014,other,30
2015,other,29
2016,other,5
